sd,pd,os,bs,target_co_simplified,target_pr_simplified
[13] yield in a non-paranthesized if block is flagged as an error,JDT,Windows 7,RESOLVED,Core,P3
cleanup platformuipreferencelistener,Platform,Linux,RESOLVED,UI,P3
[13] compiler should recognize text blocks even if preview is disabled,JDT,Windows 10,RESOLVED,Core,P3
update base builder from 4.13 m3 to build 4.13 rc1,Platform,All,RESOLVED,Releng,P3
remove prior to 3.1 check in editorregistry#readresources,Platform,Linux,RESOLVED,UI,P3
[af] create a view to visualize the available architectures in the instance,Papyrus,All,NEW,Core,P3
customize name of eclipsec.exe,Equinox,All,CLOSED,Other,P3
provide support for generating a p2 repository quality report,Oomph,Windows 7,NEW,Other,P3
deploy ecj compiler from 4.13 m3 and use it for 4.13 rc1 build,Platform,All,RESOLVED,Releng,P3
improve performance of editorregistry#readresources,Platform,Linux,RESOLVED,UI,P3
help hovers cause npe when help is not available,Ease,All,CLOSED,UI,P3
remove preference settings for dock_perspective_bar,Platform,Linux,RESOLVED,UI,P3
[elk] add an action to export the elk graph corresponding to a sirius diagram,Sirius,Windows 10,CLOSED,Diagram,P3
remove preference settings for show_traditional_style_tabs,Platform,Linux,RESOLVED,UI,P3
[elk] all elk algorithm options are not avalaible in vsm,Sirius,Windows 10,CLOSED,Diagram,P3
update plug-in and product version number for 1.11.0 release,4DIAC,Linux,CLOSED,4DIAC-IDE,P3
design 1.11. splash screen,4DIAC,Linux,CLOSED,4DIAC-IDE,P3
removal of intermediate cross referencers,Sirius,All,CLOSED,Core,P3
replace activator log calls in org.eclipse.ui.internal.monitoring.monitoringplugin with standard log calls,Platform,Linux,RESOLVED,UI,P3
[elk] do not call borderitemawarelayoutprovider when an elk layout algorithm is used.,Sirius,Windows 10,CLOSED,Diagram,P3
[elk] allow to made specific changes linked to semantic aspects before and after the layout,Sirius,All,CLOSED,Diagram,P3
remove unused api filter,Platform,All,RESOLVED,SWT,P3
[junit 5] cannot run jupiter tests in a project with module-info.java after upgrade to junit 5.5.1,JDT,All,VERIFIED,UI,P3
add preference change listener to status line,Platform,All,NEW,UI,P3
[release] ecd.dirigible 4.0.0,Community,All,RESOLVED,Proposals and Reviews,P3
delete navigator view (resourcenavigator impl) after august 2021,Platform,Linux,NEW,UI,P3
update build and version to work with 2019-09 and new ci infrastructure,BPEL,Linux,CLOSED,UI,P3
"allow label located outside of a node, or border node, to be ""everywhere"" around the node",Sirius,All,CLOSED,Diagram,P3
remove usage of internalplatform#log and delete method,Platform,Linux,RESOLVED,Runtime,P3
project explorer should support navigator view properties,Platform,Windows 7,NEW,UI,P3
http whiteboard bundle declares duplicate osgi.implementation capability via p2.inf,Equinox,Linux,RESOLVED,Other,P3
shell.getbounds() wrong when shell is maximized.,Platform,Windows All,RESOLVED,SWT,P3
[elk] improve elk graph transformation,Sirius,Windows 10,CLOSED,Diagram,P3
[toolsmiths][af] a validation of architecture framework plug-in definition can be available,Papyrus,All,ASSIGNED,Core,P3
eclipse ide is not getting downloaded showing server error,Platform,Windows 7,RESOLVED,IDE,P3
[release] locationtech.proj4j 1.1.0,Community,All,RESOLVED,Proposals and Reviews,P3
ide not working properly,Platform,Windows 10,RESOLVED,IDE,P3
[autorefactor immigration #10/116] [cleanup & saveaction] lambda expression enhancement,JDT,All,VERIFIED,UI,P3
ui freeze of 15s on enabling word wrap in file with marker,Platform,All,RESOLVED,Text,P3
error resolving overloaded conversion operators when one of them is a template,CDT,All,RESOLVED,Other,P3
open resource should prefer .java files over .class files,Platform,Linux,RESOLVED,IDE,P3
ilog should provide methods for logging with simple strings,Platform,All,RESOLVED,Runtime,P3
nosuchmethoderror: java.nio.bytebuffer.limit(i)ljava/nio/bytebuffer;,JDT,Linux,CLOSED,Core,P3
error is displayed and unable to update the software in neon.3 release (4.6.3),Platform,Linux,RESOLVED,IDE,P3
login is not working,JDT,Windows 10,CLOSED,Other,P3
gatewayvalidator ignores mixed type,BPMN2Modeler,All,RESOLVED,Core,P3
org.eclipse.core.runtime.feature is missing jobs,Platform,All,RESOLVED,Runtime,P3
[compiler] bogus compile error observed on team checkuniquecallincapture,Objectteams,All,RESOLVED,Other,P3
update org.eclipse.license from 2.0.0 to 2.0.2,Mylyn,All,RESOLVED,Releng,P3
[model] undue caching of module while moving / renaming module-info.java,JDT,Linux,VERIFIED,Core,P3
update 4diac ide to epl 2.0,4DIAC,Linux,CLOSED,4DIAC-IDE,P3
update 4diac forte to epl2.0,4DIAC,Linux,CLOSED,Other,P3
marketplace search produces an error,MPC,Windows 10,RESOLVED,Other,P3
logging is limited to warn,Objectteams,Linux,RESOLVED,Other,P3
undocumented status value closed,Community,All,REOPENED,Other,P3
error launching the ide,Platform,Windows 8,RESOLVED,IDE,P3
[model] illegalargumentexception below fielddata.tostring() triggered by chain completion,Objectteams,Linux,RESOLVED,Other,P3
"""save resources"" dialog shown when closing rcp app and should not be",Platform,All,VERIFIED,UI,P3
wontfix ticket can have status resolved,Community,All,REOPENED,Other,P3
all the slaves for releng jipp are down,Community,All,CLOSED,Other,P1
automatically show list for selection boxes in tables and inline graphical editors,4DIAC,All,CLOSED,4DIAC-IDE,P3
crash at creation of combo swt.read_only,Platform,Windows 10,VERIFIED,SWT,P3
solutions with epl 2.0 are filtered out from mpc api responses,Community,All,RESOLVED,Other,P2
add type ahead search for all combo boxes,4DIAC,All,CLOSED,4DIAC-IDE,P3
aeri down?,Community,All,RESOLVED,Other,P3
usability improvements for 4.14,JDT,All,RESOLVED,Debug,P3
git staging: commit button becomes disabled and remains so,EGit,Linux,CLOSED,UI,P3
"feature request: add quick link to ""compare with > branch_from_which_the_current_branch_originates""",EGit,Linux,NEW,Core,P3
[quick assist] combine selected annotations into a composed annotation,JDT,All,NEW,UI,P3
improve logging in org.eclipse.core.databinding,Platform,Linux,RESOLVED,UI,P3
plug-in start level and autostart configuration for system bundles is ignored,PDE,Windows 10,CLOSED,UI,P3
remove all p2.inf files that try to simulate the provide-capability manifest header,Equinox,Linux,RESOLVED,Other,P3
[c++ gen] nullpointerexception during cpp state machine generation,Papyrus,Windows 10,RESOLVED,Other,P3
legacy tabs: processing aftertab elements leads to wrong order,EEF,All,NEW,Other,P3
layouting issues on nabula dialog (opal) for exception and input,z_Archived,Windows 10,RESOLVED,Other,P3
minor improvements for multistringmatcher,Platform,All,RESOLVED,Text,P3
mark bookmarknavigator and related api for deletion,Platform,Linux,RESOLVED,UI,P3
severe rednering bug when scrolling editor on mac os,Platform,Mac OS X,CLOSED,SWT,P3
[dark theme] variables and expressions view icons too dark,Platform,Windows 10,CLOSED,Debug,P3
adding  jar for chemistry-opencmis-osgi-client-1.1.0.jar,Orbit,Mac OS X,RESOLVED,Other,P3
[model2doc] the framework must provide a tool to create a documentprototype from a documenttemplate,Papyrus,Windows 10,RESOLVED,Model2Doc,P3
showing all mailing lists is broken when logged in,Community,All,VERIFIED,Other,P3
[visitors] generated accept is not fully extensible.,OCL,Windows 10,RESOLVED,Core,P3
[c++ gen] non initialized property causing execution error,Papyrus,Windows 10,RESOLVED,Other,P3
[c++ gen] state machine code generation with empty loop causes execution issues,Papyrus,Windows 10,RESOLVED,Other,P3
[release] rt.jetty 10.0.0,Community,All,RESOLVED,Proposals and Reviews,P3
[quick assist][rulers] quick assist light bulb no longer works,JDT,All,VERIFIED,Text,P3
cannot publish local branch to github,Community,Windows 7,CLOSED,GitHub,P3
performance loss in composite.wm_paint(),Platform,Windows NT,NEW,SWT,P1
tmf: java.lang.illegalargumentexception in state system explorer for experiment with 1 empty trace,Tracecompass,Linux,RESOLVED,Other,P3
[release] ee4j.jakartaee-platform 8.0.0,Community,All,RESOLVED,Proposals and Reviews,P3
[release] ee4j.faces 2.3.0,Community,All,RESOLVED,Proposals and Reviews,P3
update latest java release version for javase_10_plus,JDT,All,VERIFIED,Debug,P3
eclipse 4.13 prerequisites for rc1: orbit,Platform,All,RESOLVED,Releng,P3
nightly build ide update error,4DIAC,Windows 10,CLOSED,4DIAC-IDE,P3
"remove info message ""... was detected to be hosted by a gerrit server""",EGit,Linux,RESOLVED,UI,P3
remove 3.4 preference migration in org.eclipse.equinox.p2.ui.sdk.scheduler,Equinox,Linux,RESOLVED,Other,P3
supported tags,Community,All,VERIFIED,Other,P3
[performance] filtering plugins in about dialog is slow,Platform,Windows 10,RESOLVED,UI,P3
sonar related build problem in capellastudio,Community,Windows 10,CLOSED,Other,P3
drop shell editor modules,z_Archived,Linux,RESOLVED,Other,P3
capella - [xhtmldocgen] static character encoding for the generated pages,Community,Windows 10,CLOSED,Website,P3
update base builder from 4.13 rc1 to build 4.13 rc2,Platform,All,RESOLVED,Releng,P3
deploy ecj compiler from 4.13 rc1 and use it for 4.13 rc2 build,Platform,All,RESOLVED,Releng,P3
[14] infrastructure support for java 14,JDT,All,RESOLVED,Core,P1
improve and deprecate textutilities.indexof,Platform,All,RESOLVED,Text,P3
"arraystoreexception in indexer, eventually causes indexer to shut down",CDT,Linux,CLOSED,Other,P3
add faster nextdelimiter utility method,Platform,All,RESOLVED,Text,P3
linuxtools gcov incorrectly interprets data files generated by gcc version 9.1,Linux Tools,Linux,RESOLVED,Other,P3
enhance support to disable event handling in glazedlistseventlayer,NatTable,Windows 10,CLOSED,Other,P3
remove .project files from apitools/org.eclipse.pde.api.tools.tests/test-builder data,PDE,Linux,RESOLVED,UI,P3
dap based breakpoints are interferring with normal cdt breakpoints,lsp4e,Linux,RESOLVED,Other,P3
show users the configured runtime,4DIAC,All,CLOSED,4DIAC-IDE,P3
classfile.addfieldinfos throws arrayindexoutofboundsexception - part 2,JDT,All,VERIFIED,Core,P3
grant access to projects storage service to the jenkins instance of project eclipse kuksa,Community,Windows 10,CLOSED,CI-Jenkins,P3
use shorter restart text after installation,Equinox,Linux,RESOLVED,Other,P3
add filter icon to project explorer toolbar,Platform,All,CLOSED,UI,P3
managing alerts for vulnerability - codewind,Community,All,CLOSED,GitHub,P3
upload file size limit is incorrect,Community,Mac OS X,RESOLVED,Other,P3
text editor status line shows selection size even after disabling the preference,Platform,All,VERIFIED,Text,P3
codewind build with docker build agent is failed with 'no space left on device' message,Community,All,CLOSED,CI-Jenkins,P3
[metatype] avoid reloading the same resourcebundle multiple times,Equinox,Mac OS X,RESOLVED,Other,P3
tune gerrit cache settings,Community,Mac OS X,NEW,Other,P3
[content assist] null pointer exception in the code autocomplete in chaincompletionproposalcomputer,JDT,Mac OS X,VERIFIED,UI,P3
support bouncycastlefipsprovider for gpg related code,JGit,All,NEW,JGit,P3
nullpointerexception compiling aspect using @declareparents to implement interface,AspectJ,Windows 10,RESOLVED,Other,P3
502 error in jenkins build,Community,Windows 10,CLOSED,CI-Jenkins,P3
readme file for 4.13,Platform,All,VERIFIED,Releng,P3
n&n for 4.13,Platform,Mac OS X,VERIFIED,Releng,P3
do the javadoc bash for 4.13,Platform,All,VERIFIED,SWT,P3
[gtk] ability to place not digit characters to datetime,Platform,Linux,VERIFIED,SWT,P3
[14] support for java 14,JDT,Windows 7,RESOLVED,Core,P3
[14] jep 359 : records (preview),JDT,Windows 7,RESOLVED,Core,P1
[15] jep 360: sealed types (preview),JDT,Windows 7,RESOLVED,Core,P3
investigate freeze on clicking on tracing tab of launch configuration dialog,PDE,Windows 7,NEW,UI,P3
menu icons are not shown at proper position,Platform,Linux,CLOSED,SWT,P3
[refactor] move convertanonymoustonestedrefactoring into jdt.core.manipulation for the use of jdt.ls,JDT,Mac OS X,RESOLVED,UI,P3
"wrong ""no return"" warning",CDT,Windows 10,CLOSED,Other,P3
[af][doc] the documentation concerning switch of architecture viewpoint should be modified,Papyrus,All,ASSIGNED,Core,P3
jipp request for project che4z,Community,CentOS,CLOSED,CI-Jenkins,P3
jipp request for project che4z,Community,CentOS,CLOSED,CI-Jenkins,P3
stagingview: catch runtimeexceptions during commit,EGit,All,RESOLVED,UI,P3
[model2doc] change required feature into dependent feature,Papyrus,Windows 10,NEW,Model2Doc,P3
[model2doc] the bundle tests don't found the model2doc plugins on hudson to check them,Papyrus,Windows 10,CLOSED,Model2Doc,P3
create jdt and platform porting guides for 4.13 and update links in welcome page,Platform,All,RESOLVED,Other,P3
[gtk3] swing components keep the focus when coming back to swt widgets,Platform,Linux,VERIFIED,SWT,P3
"[13] remove jcp disclaimers from code, ui and marketplace",JDT,Windows 7,RESOLVED,Core,P3
eclipse ide for java ee developers neon 4.6 - maven project,EPP,Windows 10,NEW,Other,P3
[table] papyrus must provide a tools to create easily a tableconfiguration from an existing table,Papyrus,Windows 10,NEW,Other,P3
`variables` invoked too many times and lead to too many request and potentially erroneous display,lsp4e,All,RESOLVED,Other,P3
[13] create examples wiki page,JDT,Windows 7,RESOLVED,Core,P3
4.13 acknowledgements,Platform,Windows 7,RESOLVED,Releng,P3
using ee 11 or 12 with jre 13 and no module-info.java results in compile error (object not found),JDT,Windows 7,VERIFIED,Core,P3
"[freertos] timer is using posix timer, which is not always available",4DIAC,Windows 10,CLOSED,Other,P3
fatal error during semantic analysis of recursive asn.1 type,z_Archived,All,CLOSED,Other,P3
"when dragging/scrolling in the calendar of a datefield, pressing esc will cause a ui error",z_Archived,Windows 10,CLOSED,Other,P3
incorrect float2str result,z_Archived,Windows 10,CLOSED,Other,P3
org.eclipse.jgit.nls.nls creates still a memory leak,JGit,Unix All,RESOLVED,JGit,P3
allow ports on mqtt.eclipse.org vserver,Community,Linux,RESOLVED,Other,P3
while enter the invalid id does not show the error message,CDT,Windows 10,NEW,Other,P3
opening the datepicker with the button is not working after picker is closed via the button,z_Archived,Windows 10,RESOLVED,Other,P3
crash when opening code style formatter in cdt,Platform,Linux,NEW,SWT,P3
"[af] when switch viewpoints, the editors not managed by current viewpoints must be closed",Papyrus,All,ASSIGNED,Core,P3
add contributing entry to help menu,4DIAC,Linux,CLOSED,4DIAC-IDE,P3
"actions pane on the context tab is too small, and cannot be resized",Mylyn,Windows 7,CLOSED,Other,P3
"""save resources"" dialog - new button name causing confusion",Platform,Windows 10,RESOLVED,UI,P3
mwe and jiro,Community,Linux,CLOSED,CI-Jenkins,P3
stored procedures not supporting named parameters for oracle,EclipseLink,Windows 10,RESOLVED,Other,P3
npe in tycho pomless aggregation,z_Archived,All,RESOLVED,Tycho,P3
babel server is not ready for php 7,Babel,Windows 10,RESOLVED,Other,P3
mat macos binaries should be signed for apple's gatekeeper,MAT,Mac OS X,RESOLVED,Core,P3
java heap space error - eclipse exits,z_Archived,Mac OS X,NEW,m2e,P3
declare 4.13 rc1,Platform,All,RESOLVED,Releng,P3
remove activator from org.eclipse.core.filesystem,Platform,Linux,RESOLVED,Other,P3
tycho should support mirroring/inclusion of target platforms in the target artifact,z_Archived,Linux,NEW,Tycho,P3
